Year;Canton;GDP;Total expenditure;General administration;Executive and legislative organs;General services;Public order and security, defense;Public security;Administration of justice;Prison system;General legal issues;Fire protection services;Defense;Education;Obligatory schooling;Special schools;Basic vocational training;General education schools;Post-secondary vocational education;Tertiary-level institutions;Research;Other education;Culture, sport and leisure, church;Cultural heritage;Other culture;Media;Sporting and recreational services;Churches and religious services;Health;Hospital, convalescent and nursing home services;Outpatient care;Preventive healthcare;R&D health;Health n.e.c.;Social security;Sickness and accident;Disability;Old age and survivors;Family and young people;Unemployment;Subsidized housing;Social welfare and asylum affairs;R&D social welfare;Social welfare n.e.c.;Transportation and telecommunications;Road transportation;Public transportation;Other transportation;Telecommunications;Protection of the environment and spatial planning;Water supply;Sewage disposal;Waste management;Control structures;Protection of biodiversity and landscape;Anti-pollution;Other environmental protection;Spatial planning;National economy;Agriculture;Forestry;Hunting and fishing;Tourism;Industry, commerce and trade;Banks and insurance companies;Fuel and energy;Other commercial operations;Finances and taxes;Taxes;Tax agreements;Fiscal equalization and cost compensation;Other revenue shares without appropriation;Asset and debt management
2000;Aargau;0;3288729;125319;5920;119399;260288;104506;55470;46872;34553;1507;17381;1033269;575913;79337;126809;111180;22489;104034;0;13507;38014;17561;11880;65;8488;20;605828;581849;806;15085;0;8087;524533;83430;132540;186535;3916;30729;3998;82598;0;786;341995;280348;61539;107;0;73915;7;22107;7537;15241;14738;0;8912;5372;143247;124365;14010;2032;58;567;0;2216;0;142320;13921;0;35315;21561;71523
2001;Aargau;0;3448773;128525;4128;124397;257743;103000;54681;44801;37626;1652;15982;1065307;593434;83244;134131;105665;21212;112824;0;14797;43353;22751;12655;43;7881;23;636017;612108;792;14905;0;8212;577331;122780;145545;200454;4079;25597;5124;72923;0;829;349457;283194;66181;82;0;84814;7;25054;11390;14766;19412;0;9242;4944;150375;129987;14654;2205;125;745;0;2659;0;155851;14735;0;36944;23022;81150
2002;Aargau;0;3559262;142777;4658;138120;269865;114948;57747;48541;32008;1790;14831;1107677;607238;91084;123563;110039;4617;157620;0;13515;51267;26782;16629;5;7829;22;663209;639611;701;15237;0;7661;616758;151783;153457;201211;2680;28605;3692;74576;0;753;342767;271368;71306;93;0;64732;7;12200;11016;14047;13259;0;9119;5083;158200;135645;16604;2351;136;832;0;2632;0;142010;11227;0;32414;24046;74323
2003;Aargau;0;3771771;150692;4883;145809;278390;116970;60247;47999;36523;1670;14982;1151679;614388;95785;125013;111704;12930;176987;0;14872;63913;31378;23700;287;8526;23;739306;714841;306;15756;0;8403;658819;151457;172134;209149;2029;34965;3950;84537;0;600;353207;281185;71940;82;0;74105;7;18667;6762;17792;15465;0;9820;5593;164319;137396;20098;2062;34;893;0;3835;0;137340;9906;0;39026;23140;65267
2004;Aargau;0;3868402;153253;4815;148438;279570;113960;56009;54653;38028;1775;15145;1136753;589809;107629;126587;108210;14990;174683;0;14846;55435;20914;21570;248;12679;24;815909;795169;149;12254;0;8336;646423;150197;194750;172048;2190;42499;631;83305;0;803;362204;292747;69376;82;0;94643;13707;18242;8999;25900;13422;0;8968;5405;163048;139866;17004;1791;27;983;0;3376;0;161165;13276;0;38550;28917;80422
2005;Aargau;0;3987496;149385;4905;144480;286952;118095;60887;54277;36581;1122;15991;1224257;632249;121544;138098;114757;4568;186949;0;26093;44731;18664;17222;208;8613;23;841112;820524;161;12070;0;8357;656893;150705;205393;173598;2499;43294;609;79338;0;1458;394662;318214;76366;82;0;64420;173;8693;9274;17319;14471;0;9111;5379;164164;141649;14716;1961;29;1477;0;4333;0;160920;14960;0;26726;46160;73075
2006;Aargau;0;4304953;201277;5894;195384;309631;119091;70404;61684;44156;1357;12939;1333760;714385;135601;112627;137680;2037;203635;0;27795;43925;17927;16704;136;9112;45;897561;873407;77;16715;0;7363;691525;153169;213559;180970;2926;44668;520;95018;0;695;419647;323962;95601;84;0;89128;270;11248;15053;18824;14490;14099;8487;6655;163686;141451;14575;1041;0;1693;0;4927;0;154814;15567;0;32561;39698;66988
2007;Aargau;0;4545717;190311;6026;184285;306218;122952;68163;58067;42887;1320;12829;1517442;741533;199065;130281;162980;2420;255311;0;25852;50666;22977;19586;456;7597;50;858110;832045;40;17512;0;8513;768431;168234;259575;214199;3182;45702;488;76196;0;856;417964;313727;104150;87;0;101455;661;2990;36206;17364;14697;14099;8735;6703;171281;148237;15335;726;0;1857;0;5125;0;163839;13733;0;36745;39339;74022
2008;Aargau;38847000;5759269;803451;7539;795912;306997;123940;66102;57487;44886;833;13749;2708989;1943657;230735;143757;152671;26818;166456;0;44896;59132;26179;17873;163;14867;50;399339;357642;243;20317;0;21137;621916;197428;218719;88370;4557;39764;440;71638;0;1000;391860;259016;132694;150;0;112610;587;5902;1000;21278;13907;53804;7420;8711;169955;146098;15027;1053;0;2233;0;5544;0;185020;12348;0;58886;31840;81946
2009;Aargau;38018000;4107370;216927;8170;208758;336343;125601;69325;78221;47628;832;14737;1529582;787883;203024;138003;148246;35765;178744;0;37917;63815;34916;19202;335;9312;50;480883;434030;263;24654;0;21936;639033;181530;227505;95861;5474;45964;1644;80048;0;1005;366653;220585;145968;100;0;90671;623;4047;149;19622;17503;32177;7819;8731;207285;156498;13864;1104;567;2259;0;32973;20;176179;12199;0;58492;30710;74778
2010;Aargau;38747000;4146059;215594;7611;207984;351215;125214;76524;79963;54540;916;14057;1564949;802314;201141;146411;146656;27436;208620;0;32371;76553;30115;34942;387;11075;34;447229;412589;343;21484;0;12814;694715;224423;227282;96037;5248;51120;6313;83062;0;1230;351774;209554;142220;0;0;76478;284;1986;1796;26325;21130;8401;7688;8867;184353;158180;13505;849;735;3216;0;7854;13;183197;14627;0;63558;33132;71881
2011;Aargau;39609000;4336101;229101;8361;220740;388262;135103;103476;75384;58598;848;14853;1580039;828973;199960;139865;146963;30672;200788;0;32818;67799;31742;25105;669;10251;32;526710;489646;159;21174;0;15731;750711;240048;239892;109849;4981;51134;2672;100891;0;1245;348888;196316;152572;0;0;72734;499;1532;885;19310;16980;16914;7853;8761;194297;158540;14100;1222;674;3835;0;15926;0;177562;11943;0;63849;37385;64384
2012;Aargau;39862000;4577404;212597;7925;204673;420838;141803;118323;82603;62304;766;15039;1666966;895826;199705;149056;150786;33267;199921;6600;31806;71214;31927;27523;232;11519;13;592705;554538;149;20406;0;17612;804056;271593;249231;117282;9221;49283;2378;103543;0;1525;345601;189810;154732;1060;0;99220;374;756;925;17930;11507;50698;7793;9236;189346;163018;14524;936;845;3731;0;6292;0;174859;11381;0;62892;40044;60542
2013;Aargau;40767000;4703961;200455;8371;192083;431434;146865;121538;84347;61345;1334;16006;1703677;900667;205062;145738;163465;35664;214096;6600;32385;75861;33232;28434;180;13993;22;644166;605813;133;21180;0;17040;842741;281426;262002;130144;4033;50886;1776;110998;0;1475;327225;168497;158157;571;0;144142;279;1285;868;25582;11727;87635;8067;8698;187880;162017;13236;1435;1060;6437;0;3695;0;146380;12918;0;43209;40163;50090
2014;Aargau;41228000;4770144;208632;6473;202159;412540;146446;119874;85602;44239;0;16379;1722565;916887;209333;142705;151760;35210;234507;6600;25564;75275;33918;30128;515;10714;0;647254;617948;82;19198;0;10026;887561;294671;266574;140174;2741;46412;0;135459;0;1530;338116;182452;152759;2905;0;117157;0;930;1364;21269;18669;57177;7844;9903;191294;154254;11533;2646;467;15410;0;6983;0;169751;12136;0;72225;46753;38637
2015;Aargau;41926000;4892711;200028;6745;193283;437251;146692;134510;90556;43390;0;22103;1723974;920518;215763;140799;155787;35198;224143;6600;25165;71241;31386;28024;0;11831;0;694498;665693;73;18494;0;10239;925074;294245;274051;141571;4982;49587;0;158908;0;1730;374139;214351;156852;2936;0;121258;0;890;674;23402;18940;62746;7746;6861;190744;150578;11045;2959;0;14804;0;11358;0;154505;12893;0;64878;46554;30180
2016;Aargau;42313000;4973509;197721;6739;190982;434260;137816;123077;101157;42462;0;29748;1697126;901893;212261;139034;154839;39289;220231;6100;23479;79823;35787;27266;0;16770;0;732725;705298;108;17225;0;10093;1007451;331442;280919;148728;3503;51840;0;189398;0;1620;406233;231705;172101;2427;0;80359;0;379;1533;29971;14503;19246;7483;7245;193633;155512;10920;3102;0;13067;0;11033;0;144178;9685;0;61003;49780;23710
2017;Aargau;42832000;4948340;196314;6348;189966;402161;135238;117521;89611;38231;0;21559;1699579;906356;202370;152953;136290;43101;232370;2285;23853;78559;34339;31784;0;12436;0;780883;752452;595;19491;0;8346;977655;305498;288204;149738;2461;53087;0;176868;0;1800;384614;210202;171813;2599;0;71902;0;368;1716;22906;14884;19098;7090;5841;195522;155921;10742;2766;0;14327;0;11766;0;161151;15072;0;64745;60788;20546
2018;Aargau;44086000;4964146;197949;5984;191964;402343;141341;121622;84709;39028;0;15642;1688842;900488;203987;146460;144621;38785;226428;2500;25573;86911;36238;31422;0;19251;0;785374;751660;3957;18475;0;11282;961692;311618;296714;153285;2098;52500;0;143703;0;1775;379129;206471;169795;2862;0;62728;0;271;2635;16898;16140;13540;7191;6053;198795;157404;12475;3254;0;13043;0;12618;0;200384;16356;0;118649;48975;16403
2019;Aargau;45005000;5125814;215563;6948;208615;408158;148222;122306;86037;39518;0;12074;1705006;915998;209734;155492;128601;39687;226572;2665;26257;84482;35264;30243;7;18968;0;807800;772364;5406;19673;0;10358;1010239;341583;305447;162736;4916;55025;0;138676;0;1855;411099;225277;183179;2643;0;63401;0;372;494;19115;18736;10712;7330;6642;214386;161584;13137;3078;0;13764;0;20199;0;205679;14055;0;118687;56211;16726
2020;Aargau;0;5454502;226700;7280;219421;422791;154273;128494;87235;40021;0;12768;1715063;930867;218482;151569;125488;38294;221659;2665;26038;98077;34970;50922;16;12170;0;922896;880043;6568;26321;0;9963;1028935;349385;314236;168270;8206;56933;0;130091;0;1815;539552;293132;243428;2992;0;68084;0;305;567;18109;20155;9432;7608;11910;219890;159640;12410;3130;0;20604;0;17779;0;212513;12599;0;120717;65867;13329
1990;Appenzell_A;0;220279;12816;1215;11601;22475;8238;2507;1953;2129;0;7648;37177;14782;1786;7852;6394;820;3914;0;1630;2343;641;873;70;760;0;27361;26166;10;717;0;469;19057;778;4210;9784;655;249;1176;2061;0;145;38385;34989;3396;0;0;8369;560;3593;0;1466;0;0;1967;783;25935;20535;4350;194;322;525;0;10;0;26360;0;0;4612;14841;6907
1991;Appenzell_A;0;240071;16492;1319;15173;21571;9123;2892;1965;2495;0;5096;41312;15112;2159;7758;9333;863;4277;0;1810;2463;389;1323;28;724;0;33199;31785;19;882;0;514;23461;900;4855;11598;680;289;989;3984;0;166;38144;35861;2283;0;0;11911;0;7102;0;1368;4;0;2519;919;28308;26255;1058;204;424;368;0;0;0;23210;0;0;4622;10141;8447
1992;Appenzell_A;0;262022;20125;1423;18701;24230;9928;3225;2283;2533;0;6261;45107;16495;2523;8900;9132;903;4919;0;2234;2520;645;927;28;920;0;35168;33838;10;779;0;541;24747;916;5716;12180;924;349;989;3171;0;502;35994;34109;1885;0;0;9191;0;4021;0;1280;385;0;2313;1192;38400;24576;2842;217;390;375;10000;0;0;26539;0;0;4957;11937;9645
1993;Appenzell_A;0;292771;14072;1477;12595;26198;10980;3310;2478;2525;0;6905;47262;16855;2412;8981;11415;908;4864;0;1828;2100;714;612;16;758;0;70241;68878;4;796;0;562;34508;953;6780;13685;880;7784;462;3635;0;329;32706;30524;2182;0;0;8541;0;3812;0;1063;366;0;2265;1034;30449;27285;2192;195;453;267;0;58;0;26694;0;0;4823;7977;13894
1994;Appenzell_A;0;312569;16672;1772;14900;25303;10741;3619;2847;2727;0;5370;51624;18085;2348;9678;14432;909;4745;0;1428;1965;516;707;33;708;0;76505;75140;19;766;0;579;31703;896;7496;13576;997;4372;497;3703;0;164;35988;32747;3241;0;0;10400;316;4370;0;1760;362;0;2331;1261;32330;29205;2025;237;459;357;0;47;0;30081;0;0;4690;10619;14771
1995;Appenzell_A;0;317649;14776;1465;13311;27874;10673;3998;5130;2566;0;5507;53302;19207;2628;9945;14113;1195;4869;0;1345;2241;715;609;21;896;0;81226;79702;135;706;0;683;32908;2501;8146;14547;690;958;976;4947;0;143;34797;31414;3382;0;0;9311;689;2563;300;1992;407;0;2047;1315;31019;28477;1522;222;407;327;0;64;0;30196;0;0;4532;11562;14102
1996;Appenzell_A;0;353617;16590;1421;15169;26573;10606;4318;4393;2657;0;4599;51927;20748;1761;9691;11788;1143;5174;0;1622;1627;425;560;4;638;0;90470;88354;176;1071;0;869;48801;15095;8047;12877;648;4963;368;6702;0;101;30806;26507;4299;0;0;8491;414;2693;738;963;273;0;2031;1379;36151;33980;1226;222;447;260;0;16;0;42180;0;0;4464;10481;27235
1997;Appenzell_A;0;346995;17176;1537;15638;28362;11623;4504;5502;2857;68;3808;50830;21328;2715;9700;8879;1539;5247;0;1422;1844;462;678;3;701;0;83430;81115;166;1236;0;913;59063;20553;8699;13471;998;9425;861;4935;0;122;33235;29104;4130;0;0;8198;230;2675;809;847;414;0;1946;1277;37912;35518;1454;213;430;282;0;14;0;26946;0;0;4321;9885;12741
1998;Appenzell_A;0;358279;16038;1711;14328;25996;11025;4537;4364;2909;41;3120;53583;20670;3392;10972;11982;1977;3205;0;1385;2098;672;709;26;691;0;87775;85345;184;1352;0;894;63796;24206;9629;14020;631;9440;1001;4684;0;184;33190;29427;3762;0;0;7649;0;2606;852;623;405;0;1893;1271;36292;33995;1354;210;428;270;0;35;0;31863;0;0;3952;11617;16294
1999;Appenzell_A;0;348913;16786;2197;14590;25746;11927;4399;3504;3066;30;2820;54952;20549;3755;12032;11285;2097;3918;0;1315;2392;625;1040;12;715;0;80584;78203;170;1289;0;923;58636;24674;9824;14558;671;1172;426;7186;0;126;35639;31836;3803;0;0;9913;177;2683;1006;2421;562;0;1921;1143;38165;35713;1561;181;333;358;0;19;0;26100;0;0;5057;9245;11798
2000;Appenzell_A;0;351289;16764;1890;14874;24704;11735;4469;2899;3047;34;2519;60395;21002;3698;14411;12168;586;7206;0;1325;3087;787;1196;68;1036;0;79610;77031;245;1338;0;996;57740;24869;10402;14492;715;893;199;5735;0;435;36712;32778;3934;0;0;8326;115;1670;940;1754;572;0;2126;1149;38493;34859;2405;204;284;556;0;185;0;25458;0;0;4824;9277;11357
2001;Appenzell_A;0;361621;18735;1880;16855;24824;12153;4701;2600;3139;42;2189;68155;25922;4194;17675;11067;670;7212;0;1414;2922;889;1165;13;855;0;84172;81355;248;1441;0;1128;58579;26352;11413;14369;749;804;434;3976;0;483;36944;32066;4877;0;0;7991;65;1598;263;1508;652;0;2716;1188;39012;35112;2677;203;385;336;0;300;0;20285;0;0;4840;8087;7358
2002;Appenzell_A;0;386594;22292;1915;20377;26010;12921;4741;2779;3194;42;2333;70205;25812;5079;18228;10144;819;8574;0;1551;2886;755;1470;3;658;0;89597;86564;312;1582;0;1139;62941;28490;12384;15187;640;1008;367;4631;0;234;43997;38297;5701;0;0;9255;0;1975;218;2110;476;0;3190;1286;41210;36843;2649;230;770;418;0;300;0;18200;0;0;4907;7557;5735
2003;Appenzell_A;0;392011;22031;1930;20101;27929;13746;4865;3148;3772;0;2398;67082;25645;4946;14134;10401;1057;9020;0;1878;2591;801;1112;10;668;0;91336;88320;247;1554;0;1216;64565;26274;13924;17096;719;1134;300;4952;0;166;34356;29259;5096;0;0;13477;0;877;231;7828;427;0;2799;1316;48555;37541;8870;215;713;511;0;705;0;20089;0;0;7670;7808;4611
2004;Appenzell_A;0;416175;24847;2730;22117;28405;13481;4988;4055;3181;50;2651;74000;25185;5451;14383;16118;884;10032;0;1947;2690;447;1319;10;915;0;107879;105156;261;1072;0;1390;61685;21129;14625;18759;659;1533;560;4297;0;122;43751;37884;5868;0;0;12285;545;636;133;6319;453;0;3141;1058;43616;37637;3413;171;1701;643;0;50;0;17018;0;0;6904;6875;3239
2005;Appenzell_A;0;403123;24469;2977;21492;28238;13395;5013;4571;2509;66;2685;70665;27683;5195;13703;10786;874;10612;0;1811;3328;1457;939;19;913;0;107703;105168;191;1088;0;1256;60551;22500;15117;16595;667;1536;369;3647;0;118;39137;33973;5164;0;0;9763;272;708;272;2879;462;0;4036;1135;41421;36587;3113;171;723;822;0;5;0;17849;0;0;6431;8173;3246
2006;Appenzell_A;0;428248;25233;3103;22129;31483;14516;5147;5992;3103;19;2707;75259;28070;5235;14649;9756;118;13669;0;3762;3024;976;1135;20;893;0;109799;107046;158;1107;0;1488;63279;23995;15406;17442;664;2038;198;3437;0;100;45458;39165;6293;0;0;12651;569;575;80;5351;329;0;4588;1160;40955;37079;2362;178;734;597;0;5;0;21107;0;0;6305;9583;5219
2007;Appenzell_A;0;437905;28039;3533;24506;33927;14992;5262;7923;3045;0;2707;79082;30710;3846;15249;10402;140;14631;0;4104;5160;1190;2215;24;1730;0;110714;107635;177;1205;0;1696;66289;24677;17305;17523;667;2107;208;3693;0;110;41074;35610;5464;0;0;12927;241;481;32;6228;448;0;4342;1155;41486;38213;1706;193;750;624;0;0;0;19206;0;0;6686;8015;4505
2008;Appenzell_A;2956000;399529;30927;3859;27067;30315;15250;4546;5413;2681;0;2424;83456;18734;9941;16386;19291;136;15157;0;3812;4733;1511;2304;29;889;0;50069;47351;823;1105;0;789;63956;23824;21149;11754;1026;1610;271;4218;0;105;56457;47659;8798;0;0;13563;402;199;0;7008;5;38;4402;1510;44699;39235;2376;251;761;2076;0;0;0;21354;0;0;10970;8330;2055
2009;Appenzell_A;2854000;423765;32343;4352;27991;33085;16312;4721;5587;2761;0;3704;87874;26512;10574;18863;11325;128;16270;0;4203;5873;1855;2816;0;1203;0;59546;55997;941;1103;0;1505;68419;24868;21634;12577;1145;1882;120;6063;0;130;54706;44976;9730;0;0;12075;0;341;0;4779;0;56;5295;1604;47357;42905;1484;204;761;2003;0;0;0;22488;0;0;10242;10516;1731
2010;Appenzell_A;2990000;421790;31049;3416;27634;35748;18256;4912;5763;3168;0;3650;88265;19146;11575;18365;17956;122;17244;0;3856;4712;1708;2308;0;696;0;57210;53411;915;1148;0;1736;71950;24351;24484;13080;1121;2111;132;6529;0;142;50299;40295;9930;74;0;9799;0;154;0;4806;641;295;2687;1215;48315;41514;2349;206;902;2048;0;1296;0;24442;0;0;9677;12984;1781
2011;Appenzell_A;3045000;455053;34079;3589;30491;42524;17968;5658;6122;3245;0;9531;94372;20724;12038;19481;20049;79;18116;0;3885;6802;1547;4228;0;1027;0;66719;62586;1015;1130;0;1988;74119;26358;24113;12556;1107;2143;0;7680;0;163;51415;40610;10806;0;0;11044;0;239;0;5169;391;1221;2616;1407;53665;41466;2004;223;1020;3956;0;4996;0;20314;0;0;9566;9015;1733
2012;Appenzell_A;3039000;536950;33334;2732;30602;48050;17211;6452;5995;3303;0;15088;94455;19031;12153;19753;19686;73;19814;0;3945;7458;2121;4366;0;971;0;138605;134239;999;1131;0;2236;80289;27052;27156;13067;1787;2172;0;8900;0;156;49621;39346;10275;0;0;15352;0;156;0;5765;482;3934;2653;2362;46870;41191;1969;221;1052;2436;0;1;0;22915;0;0;9950;11282;1684
2013;Appenzell_A;3156000;451018;49463;2844;46619;36734;17116;6444;5831;4728;0;2615;89277;22323;10988;19182;14747;2165;16481;0;3392;6884;1192;4603;0;1089;0;56327;51364;844;1128;0;2992;82250;28108;28018;13938;794;2221;0;9170;0;0;41066;29841;11225;0;0;14996;0;125;87;5495;937;3951;2445;1957;45545;40996;1881;314;993;1361;0;0;0;28476;539;0;10106;15871;1960
2014;Appenzell_A;3207000;453053;37999;2598;35401;36868;16766;6454;5707;5044;0;2896;89426;21582;10992;18525;15024;2468;17713;0;3123;6673;1365;4252;1;1056;0;64276;59247;1086;1123;0;2820;84061;29232;28703;13983;1193;2351;0;8428;0;170;43553;27501;16052;0;0;15862;0;1099;86;6561;834;3676;2380;1227;45604;40788;1981;291;1023;1431;0;0;90;28730;546;0;9536;16100;2548
2015;Appenzell_A;3107000;451630;36754;3336;33418;36481;16425;7175;5615;4964;0;2302;88652;20659;10591;18589;15071;3099;17622;0;3021;6729;1398;4411;0;920;0;58759;55265;95;1005;0;2395;86708;28374;28763;14973;1071;2411;0;10920;0;196;48387;31257;17130;0;0;12375;0;1390;61;4040;893;2178;2361;1451;47200;39504;3988;232;948;2529;0;0;0;29584;332;0;9911;16616;2725
2016;Appenzell_A;3135000;471260;39708;2574;37135;38851;18127;7153;6939;4320;0;2311;91476;20125;10606;18611;17148;3826;17933;0;3226;7278;1242;5128;0;907;0;61934;57737;51;719;0;3428;94479;30871;28767;15785;1067;2470;0;15372;0;147;47381;29330;18050;0;0;13340;0;2924;0;3689;603;2776;1929;1419;48063;43219;1923;267;949;1705;0;0;0;28750;0;0;10130;16511;2110
2017;Appenzell_A;3147000;476593;38652;2216;36436;39013;18256;7157;6998;4307;0;2295;90096;17453;10187;18375;19471;3680;17804;0;3127;6723;1181;4380;2;1160;0;72067;67788;37;667;0;3574;94351;29114;29607;16544;1055;2566;0;15338;0;126;48005;32016;15988;0;0;12231;0;2997;0;3760;731;1773;2023;947;47817;40582;2070;270;945;3940;0;0;10;27638;0;0;10674;15204;1760
2018;Appenzell_A;3259000;476033;36677;2251;34426;40894;19531;7926;6526;4579;0;2332;88205;17900;10412;17903;17968;3140;17954;0;2927;6336;895;4259;1;1181;0;69334;64708;29;717;0;3880;97683;29052;31606;16572;1040;2571;0;16694;0;147;41316;25889;15426;0;0;9587;0;839;0;2330;756;2843;1854;964;55156;41416;2074;286;945;1566;0;0;8869;30846;0;0;10710;18206;1930
2019;Appenzell_A;3312000;475686;34772;2514;32259;41766;19205;7735;7727;4782;0;2318;88264;17740;11107;18248;17912;2697;17688;0;2872;6739;1178;4443;0;1118;0;65922;61255;78;690;0;3898;100558;31390;30303;18143;1594;2668;0;16283;0;178;44546;29640;14906;0;0;8860;0;990;0;2282;894;1207;2551;937;48285;41567;2272;311;945;1577;0;1613;0;35973;0;0;10567;23642;1764
2020;Appenzell_A;0;485829;36190;2494;33695;42522;19562;8415;7618;4655;0;2272;88638;17877;11022;18269;18334;2450;17872;0;2814;9077;1637;6509;2;929;0;73072;67880;45;1166;0;3981;99769;31481;30742;17895;1558;2887;0;15040;0;166;37634;24831;12803;0;0;9101;0;1055;0;2027;1198;932;2930;960;48839;41776;1713;275;966;2601;0;1507;1;40987;0;0;10959;22593;7435
1990;Appenzell_I;0;77928;4092;590;3503;4687;2201;450;46;1368;38;584;11363;5987;648;1610;1942;144;760;0;271;575;12;375;0;123;64;11499;10990;295;119;0;94;9391;217;1119;4804;526;1;1053;1671;0;0;9557;7898;1658;0;0;6109;473;4140;809;298;137;0;230;23;17168;13664;2721;113;106;277;0;289;0;3487;0;0;75;128;3284
