Year;Canton;GDP;Total expenditure;General administration;Executive and legislative organs;General services;Public order and security, defense;Public security;Administration of justice;Prison system;General legal issues;Fire protection services;Defense;Education;Obligatory schooling;Special schools;Basic vocational training;General education schools;Post-secondary vocational education;Tertiary-level institutions;Research;Other education;Culture, sport and leisure, church;Cultural heritage;Other culture;Media;Sporting and recreational services;Churches and religious services;R&D culture, sport and leisure, church;Health;Hospital, convalescent and nursing home services;Outpatient care;Preventive healthcare;R&D health;Health n.e.c.;Social security;Sickness and accident;Disability;Old age and survivors;Family and young people;Unemployment;Subsidized housing;Social welfare and asylum affairs;R&D social welfare;Social welfare n.e.c.;Transportation and telecommunications;Road transportation;Public transportation;Other transportation;Telecommunications;Protection of the environment and spatial planning;Water supply;Sewage disposal;Waste management;Control structures;Protection of biodiversity and landscape;Anti-pollution;Other environmental protection;Spatial planning;National economy;Agriculture;Forestry;Hunting and fishing;Tourism;Industry, commerce and trade;Banks and insurance companies;Fuel and energy;Other commercial operations;Finances and taxes;Taxes;Tax agreements;Fiscal equalization and cost compensation;Other revenue shares without appropriation;Asset and debt management
2018;Jura;5073000;965923;81714;3012;77810;61675;27176;13125;7196;12405;0;1773;228876;104124;10258;42566;21924;2305;38017;0;9680;24074;9229;7550;316;3900;3078;0;133934;113252;12757;4461;0;3464;175822;51567;42124;33206;6478;7180;916;34351;0;0;71928;52878;19041;10;0;22995;2052;1149;910;5911;6845;2223;96;3810;139664;114999;6385;1186;1638;12474;0;2983;0;25240;6518;0;11463;619;6640
2019;Jura;5173000;956335;48979;3379;44811;64685;29012;12989;7980;12893;0;1810;230321;105384;10373;42881;21762;2356;38060;0;9506;28113;9168;10571;264;5055;3054;0;136469;116955;11921;4032;0;3561;192182;56183;46322;38139;6405;7342;886;36905;0;0;64533;44938;19572;22;0;25121;1271;925;846;8318;8901;2152;165;2542;142294;116219;6980;1172;1987;12285;0;3651;0;23639;7432;0;9372;678;6156
2008;Valais;16307000;2628061;123599;6441;117158;183122;83530;30620;18856;34880;8097;7139;638162;224599;28665;104095;87746;17113;156712;300;18931;52318;16297;25433;420;10168;0;0;324795;291640;12615;13880;0;6661;465964;157031;120753;41604;38468;24279;0;80690;0;3138;437484;373486;42855;21144;0;78219;0;6376;3063;53011;2974;4554;2128;6112;218419;141676;24150;5516;5319;35561;0;6197;0;105980;12606;0;25660;37796;29918
2009;Valais;16705000;2766781;144899;6284;138615;206600;93920;34838;19635;42815;8221;7172;674454;234403;31031;110875;95629;16765;166540;0;19211;59310;18581;28188;360;12182;0;0;339080;303849;14609;14694;0;5928;488127;159945;120694;44202;42573;30164;0;87185;0;3363;429435;361522;46786;21126;0;97415;0;8899;1936;66356;3812;4812;3306;8295;233721;145386;28398;5696;6549;39700;0;7992;0;93742;11917;0;21842;34831;25152
2010;Valais;17223000;3150602;444200;6829;437370;208004;91528;34758;19491;44543;9955;7728;684759;234176;31706;119473;92527;18131;169273;0;19474;60559;19211;28698;274;12256;120;0;342850;307504;14516;15393;0;5437;529081;171664;132323;45885;47318;30675;3;98265;0;2948;433404;367916;46283;19205;0;96558;0;8036;1823;65543;5903;4516;2389;8348;254805;155593;28186;5844;6625;45568;0;12990;0;96383;13998;0;21292;37459;23634
2011;Valais;17439000;2991863;131289;7571;123718;224884;97102;37303;21882;52263;9922;6411;745503;254752;28445;132085;93291;19322;197351;0;20257;61674;17938;30899;445;11552;840;0;372343;333462;16678;16381;0;5821;555199;184226;139176;50045;49919;30415;70;100475;0;871;425567;356951;49323;19293;0;114880;0;10108;1281;77232;6516;9660;2769;7314;256422;151480;27723;6005;4842;51451;0;14920;0;104102;12661;0;21217;49148;21077
2012;Valais;17447000;3774926;700529;6984;693545;238432;95782;38015;23103;56906;12993;11633;820462;347216;31643;123975;90963;19024;187752;0;19889;65312;16566;33341;927;12988;1490;0;409809;358760;30057;14351;0;6642;587969;190858;133858;55291;53319;31968;109;122060;0;507;434818;362217;53384;19218;0;94353;0;8508;237;60953;5017;10072;2737;6829;266199;154847;25952;5845;5707;58207;0;15641;0;157042;14261;0;58266;42966;41548
2013;Valais;17686000;3311178;151573;7148;144425;249550;104456;39727;24931;58215;12021;10200;853710;364845;33640;130330;102499;16746;180248;0;25402;67950;17195;35406;102;13296;1951;0;432109;379974;35018;12384;0;4732;611303;197498;141727;56645;54143;30169;1300;129064;0;758;437978;360502;56446;21030;0;84940;0;8642;0;50679;5198;10008;2494;7919;266178;151967;26154;5757;3908;62038;0;16353;0;155888;15034;0;60738;43892;36225
2014;Valais;17870000;3351397;138418;7854;130564;246685;98771;40367;27792;59135;10885;9735;838612;353118;33475;121733;84703;28108;194260;0;23214;74363;18967;41092;138;12763;1403;0;432710;376851;35415;15774;0;4670;620343;182949;146005;58153;57811;31007;0;143895;0;523;461921;382448;56316;23157;0;78672;0;8964;0;46203;5242;9720;2193;6350;285224;167315;26376;5704;7169;63624;0;15037;0;174450;16899;0;64117;54739;38695
2015;Valais;18221000;3367546;141820;9124;132696;244747;98150;41287;29514;51489;13420;10886;889112;338258;32615;119280;98553;51932;224958;0;23516;67588;15607;36094;744;13700;1443;0;418626;359298;38949;15574;0;4806;611791;160099;153008;56701;60547;32737;77;148122;0;500;436143;362114;62368;11662;0;81920;0;9562;0;50055;5304;7691;2340;6968;292774;172883;26223;5922;11804;62259;0;13683;0;183025;16939;0;66255;67988;31844
2016;Valais;18303000;3406916;145929;6990;138939;240871;96932;41732;28156;51466;12484;10102;901605;351612;30163;132431;97122;33383;232474;0;24420;56920;14597;26960;283;13080;2000;0;440118;373913;44849;14754;0;6602;633410;163790;152329;58648;62293;33092;0;162758;0;500;376759;304143;63125;9491;0;88313;0;7108;0;58408;6045;8427;2434;5890;347858;171327;24021;6066;21249;54624;59613;10957;0;175133;20206;0;66779;56981;31167
2017;Valais;18539000;3502632;168023;7518;160504;252139;97581;42262;30164;55259;16283;10590;954377;372475;33676;145489;99216;28974;250499;0;24047;59912;15811;28904;736;13454;1008;0;462160;388852;51649;15068;0;6591;671939;170407;187884;64740;62463;31683;0;154261;0;500;368191;292339;63358;12495;0;97901;0;9116;0;65986;6055;8157;2347;6241;292318;174418;23669;6370;18946;57357;49;11508;0;175671;15719;0;63796;61904;34253
2018;Valais;19512000;3694678;257810;7998;249811;251737;100660;47054;31854;49775;9087;13307;951802;346519;34935;137121;100246;18672;288008;81;26219;62788;15563;29358;1004;15365;1498;0;475332;399024;54100;16873;0;5335;696841;179815;171536;65941;65958;31367;0;176837;0;5387;380582;305814;65604;9165;0;99576;0;5959;0;71586;5776;9222;633;6401;306053;184266;25691;6781;34029;36279;0;18997;10;212158;21877;0;64973;94764;30543
2019;Valais;20016000;3968720;495537;9228;486309;263483;101298;49587;32900;50642;13750;15307;938327;344111;37069;130851;97858;14746;284021;3301;26370;70877;21265;28556;761;18350;1945;0;493249;408985;58213;17738;0;8313;706643;185730;180294;64147;70734;35148;0;170054;0;537;409991;334980;64958;10052;0;93969;0;6828;0;65285;7630;7551;761;5914;306399;185785;24542;6688;27023;37738;0;24622;0;190246;20963;0;66499;70604;32180
2008;Zug;16588000;1101518;80389;4044;76345;98443;50130;24433;6395;13379;439;3667;266527;86495;28296;58254;51472;3983;33881;0;4147;18947;7034;5512;138;6243;19;0;124576;112405;2606;3978;0;5587;138599;36959;46982;16970;3887;9452;1777;22172;0;400;128967;88352;40308;307;0;11277;147;93;427;1167;1738;0;3760;3946;44850;30556;5350;966;407;7480;0;92;0;188942;1235;0;178889;0;8817
2009;Zug;16454000;1149516;89654;4772;84882;102041;52729;27934;6923;15297;342;-1185;277479;94034;28048;63269;51201;1557;35830;0;3539;16824;7514;5495;156;3536;125;0;99903;85082;2892;6185;0;5744;159275;39564;56548;16964;3546;9603;1679;31291;0;80;135079;85612;49165;302;0;13895;0;120;391;3062;2030;0;4184;4108;49517;34229;5720;1084;418;7769;0;298;0;205849;2023;0;194146;0;9680
2010;Zug;18112000;1187920;94807;4894;89912;111820;54348;26096;7814;14839;387;8336;297251;88572;42712;70398;52506;1695;37803;0;3564;20691;9046;8108;102;3416;20;0;103160;88441;3100;5423;0;6196;147439;42079;43872;19441;3985;9877;2555;25511;0;120;112810;68662;43838;310;0;19353;0;264;3721;1322;2319;3851;4182;3694;51335;33795;5331;927;397;10757;0;127;0;229255;1824;0;217302;0;10128
2011;Zug;18263000;1272152;105927;4891;101035;109040;55201;26731;7435;14684;377;4613;322320;90338;32250;72241;78389;1589;38750;0;8764;20640;8768;7691;224;3921;36;0;91045;76012;3255;5555;0;6224;168247;50146;54996;20480;4192;10163;1863;26127;0;280;103351;66146;36895;310;0;19821;0;14;1935;2431;2342;4156;5178;3765;77825;51613;6056;947;1283;8801;8992;132;0;253936;1567;0;239645;0;12725
2012;Zug;18448000;1276667;111697;4028;107669;111696;56582;27692;8516;14395;260;4251;304062;94429;37139;65554;53160;1368;42038;0;10374;22663;10296;8353;334;3648;33;0;87271;72984;3886;5878;0;4523;170633;50530;53146;24112;4413;9620;2118;26464;0;230;120408;68047;50715;1646;0;18183;288;0;68;190;2201;7848;3531;4057;54118;38064;6986;19;409;8640;0;0;0;275933;2194;0;262075;0;11664
2013;Zug;19679000;1303488;109959;4281;105678;124530;61295;30435;9108;19409;340;3943;300966;86185;37717;67286;53055;1342;44859;0;10521;22346;10383;7921;283;3717;42;0;95118;80446;4342;5754;0;4577;173302;51424;50577;25031;4066;10309;2985;28611;0;300;113805;72536;39905;1365;0;18001;333;0;79;169;2124;7930;3519;3847;55981;39739;6771;77;459;8935;0;0;0;289480;2191;0;275217;0;12072
2014;Zug;19180000;1371648;111759;4233;107527;129243;64545;31099;9185;19549;337;4528;347717;88071;38482;83304;72271;1373;53203;0;11014;22620;10157;8418;315;3698;31;0;105565;87506;5199;8012;0;4848;182954;52929;53884;28252;4125;10619;2624;30480;0;40;109164;65420;42362;1382;0;14574;466;0;126;110;2109;3424;3538;4801;53279;36908;6947;6;455;8963;0;0;0;294772;2754;0;279484;0;12534
2015;Zug;18925000;1393349;107326;3892;103434;129583;63298;30931;8432;22096;615;4211;335940;89477;40539;68586;69836;932;56350;0;10222;22984;9325;8718;469;4443;29;0;113576;94291;4376;9640;0;5269;193461;53280;55281;29618;4766;10924;4550;34961;0;80;90348;49045;39893;1411;0;15298;292;0;118;213;2238;4433;3462;4543;52307;36458;6478;7;424;8940;0;0;0;332525;2131;0;321113;0;9280
2016;Zug;19340000;1429385;104848;4072;100776;125830;60417;30278;7578;22815;262;4481;350739;92040;40076;67588;79614;929;60229;0;10264;24451;9371;10439;471;4124;47;0;117036;93334;3388;15306;0;5008;197007;50186;56536;30537;5128;11609;2978;40032;0;0;107975;65047;41517;1411;0;12778;237;0;94;189;2018;1828;3619;4793;50836;34944;6699;47;414;8732;0;0;0;337886;1984;0;330684;0;5218
2017;Zug;19537000;1472544;95183;3790;91393;122811;59535;30261;7387;20748;226;4655;372328;90001;38056;77989;90847;504;64628;0;10303;22700;8875;8834;442;4526;23;0;139604;120999;4015;9696;0;4894;196736;54236;54334;29940;5153;12264;3150;37658;0;0;107195;67327;38467;1401;0;16296;194;0;180;180;2061;6418;3498;3764;49314;34059;6520;1;419;8315;0;0;0;350377;1976;0;345842;0;2560
2018;Zug;20119000;1402295;94533;4018;90515;121450;58158;29738;7252;20834;229;5240;364737;88887;39976;73087;88831;504;63315;0;10137;23636;8976;9470;522;4645;22;0;118202;107645;1503;4039;0;5015;202736;57036;56623;29968;5283;11724;3279;38823;0;0;94808;56084;37323;1401;0;13255;207;0;221;211;1916;3545;3330;3825;51219;35571;5860;0;400;8750;0;638;0;317720;2860;0;312771;0;2088
2019;Zug;20831000;1418260;115953;3552;112401;121296;59081;30028;7044;20941;190;4011;328154;91360;41586;65246;53860;149;65919;0;10035;23417;8748;9818;74;4751;25;0;121652;108604;2416;4957;0;5674;205425;56812;59379;33189;4501;11674;2664;37205;0;0;104580;66353;36927;1300;0;14608;317;4239;101;0;2297;576;3432;3646;50632;33972;6192;1;350;8248;0;1869;0;332544;1819;0;329430;0;1295
2008;Zurich;135976000;11280632;461489;13495;447994;1284198;579953;390779;173984;109219;0;30264;3817534;1179578;136905;490262;354481;15386;1378121;209099;53703;273429;16507;185702;454;16448;54318;0;1057805;981723;17311;29111;0;29659;1734647;595091;382860;219129;107113;98536;6255;319988;0;5676;1039692;593435;446198;59;0;174059;7338;20980;15172;26429;27100;36358;20963;19719;216199;184390;18740;3819;0;5133;0;4116;0;1221580;40245;0;934910;6462;239962
2009;Zurich;133708000;11495938;437396;13918;423478;1271157;589553;368105;173863;112716;0;26921;4053764;1265177;119792;500378;379835;2289;1510042;220418;55832;257829;25509;156672;1833;20613;53202;0;1033331;981242;0;29923;0;22166;1774216;624946;421254;190984;149096;102371;1218;281275;0;3071;1019291;597141;401013;21137;0;119218;0;8709;7854;29227;29350;20462;12783;10833;267539;214107;20151;4205;0;17145;0;11932;0;1262198;51105;0;1025668;6868;178557
2010;Zurich;136506000;11590667;469455;12495;456960;1232543;532559;380807;178846;113727;0;26603;4053693;1275798;98108;491989;377790;1836;1524775;224582;58815;232312;28691;133027;1703;18247;50644;0;1037634;976600;7825;23677;0;29532;1909324;714207;441294;216652;147623;109700;2641;272460;0;4747;893378;478928;393254;21197;0;149449;0;8161;7363;26488;33780;49642;12240;11774;258383;203128;19366;3963;0;11969;0;19956;0;1354497;48055;0;1140160;7118;159164
2011;Zurich;139015000;14523966;3063889;13127;3050762;1330225;550136;434433;187132;127645;0;30878;4244364;1287741;138663;537946;361053;4585;1612784;241112;60480;244432;33791;134698;2062;22970;50912;0;1176175;1078477;36108;27379;0;34210;1975047;729662;466889;222884;156537;109011;7043;281056;0;1965;800289;455925;325152;19212;0;139060;0;8699;7624;26319;32609;46544;9952;7313;255936;203600;21726;3423;0;14469;0;12719;0;1294550;42288;0;1083870;1471;166921
2012;Zurich;140806000;12306168;429910;13785;416126;1308466;561267;380368;203013;128505;0;35314;4447749;1358260;111915;529125;367732;6809;1763537;247902;62471;269663;55815;135856;173;24315;53504;0;1437698;1378249;8410;25702;0;25337;2024767;693022;488576;254463;163376;107937;7210;298167;0;12016;731014;417267;291576;22171;0;149366;3589;4501;7933;25748;32166;59588;7919;7921;259705;210415;19562;8181;0;13205;0;8341;0;1247829;25064;0;1068841;1511;152414
2013;Zurich;142919000;12355936;426526;13321;413206;1347263;590698;372836;207497;131575;0;44657;4537035;1354575;123694;575909;378077;6521;1778903;254109;65247;247429;34899;142073;1696;19075;49685;0;1530739;1457061;9510;26258;0;37911;2006596;698991;504677;228759;163331;109991;3449;289676;0;7723;690167;387044;283631;19492;0;141277;2301;4778;7421;30608;33255;46965;6174;9775;256946;212350;20040;4355;100;12686;0;7413;0;1171959;31405;0;975205;1516;163832
2014;Zurich;146151000;12737555;441237;13998;427239;1370674;603139;374350;215056;133835;0;44294;4856486;1407936;126554;597085;383326;6831;2001465;268853;64435;266659;37040;151923;2823;24208;50665;0;1453201;1387169;9290;28488;0;28254;2082688;739571;512171;224639;169132;114389;6841;304494;0;11449;674144;394906;258572;20665;0;141366;1559;4328;7918;27031;33598;50085;6785;10063;275810;193226;20944;3751;0;35708;0;22181;0;1175289;35003;0;990185;1528;148573
2015;Zurich;146396000;13315319;458197;13520;444677;1366736;604284;370167;216315;136885;0;39086;4763459;1486192;119302;597708;392704;8561;1828425;268948;61619;281362;51614;149726;1619;27357;51046;0;1494294;1420880;9318;27143;9000;27952;2195035;804984;508897;234813;171559;116507;12686;339237;0;6351;669704;413913;236943;18849;0;149427;1137;4610;7126;38604;36236;45525;6300;9887;750054;191878;22565;4339;0;16185;500000;15087;0;1187050;33599;0;1006884;1533;145034
2016;Zurich;147367000;13127064;403049;13044;390005;1368746;605419;373538;221664;135523;0;32602;4889233;1605344;107568;580756;401938;7488;1841880;278672;65587;278342;48852;145304;2003;31660;50523;0;1461272;1389234;9090;27738;0;35211;2380776;847593;513794;250669;222198;119985;7661;411903;0;6974;751769;394988;339408;17373;0;162774;432;6696;7800;41599;36669;50593;8194;10792;249220;194860;21690;4520;0;15651;0;12498;0;1181884;26410;0;1040433;1553;113489
2017;Zurich;150715000;13621770;554499;13754;540746;1387300;614675;375785;227266;132232;0;37342;4994155;1616659;113155;600187;426018;8440;1882787;280810;66099;290530;47027;155834;5687;32017;49965;0;1597418;1526795;8829;27906;0;33888;2367475;826909;519623;229489;244577;125773;14882;397635;0;8586;859733;455830;383657;20246;0;143319;1463;6842;7003;37614;33822;37405;8279;10391;248598;194591;21853;4028;0;15025;207;12893;0;1178741;28216;0;1031942;1552;117032
2018;Zurich;158753000;13944725;570146;14020;556126;1402990;626131;376768;236116;132058;0;31917;5172350;1655236;124807;593594;460623;8090;1965755;285705;78539;295398;43671;168080;4145;29052;50000;450;1720971;1653278;8829;28228;0;30637;2384935;870685;541322;251926;183149;130549;10718;391618;662;4308;825592;461552;344536;19504;0;146078;1481;4457;7785;27322;41309;42072;10528;11124;260436;188720;24203;4862;0;15321;0;27330;0;1165829;26468;0;1051128;1557;86677
2019;Zurich;157389000;14444173;645338;13784;631554;1453814;635191;392937;255185;136549;0;33950;5363895;1725688;117692;589300;454135;7880;2093021;306812;69369;292964;38168;158591;5662;40301;50243;0;1823348;1715165;8829;30474;0;68880;2404952;891024;545746;258285;189417;127450;14735;371493;0;6802;830073;445523;364339;20211;0;166626;1755;31922;6377;24746;45138;33503;9829;13357;268388;189087;24474;10072;0;15723;0;29033;0;1194775;27292;0;1076741;1567;89175
2008;Berne;73670000;9372286;374216;8860;365357;767166;372498;174788;110655;90098;0;19128;2960836;1105843;12410;564182;192634;8073;797577;208921;71196;177667;40715;47116;151;17285;72400;0;1193129;1023945;21644;36955;95669;14916;1900666;465189;609351;316929;75869;55048;0;375496;0;2783;818211;509819;308391;0;0;109013;22296;21241;9964;25557;10739;3355;5204;10658;665486;560233;45991;8871;7915;37294;0;5182;0;405895;65413;0;183369;19941;137173
2009;Berne;72638000;9916155;406331;8794;397536;822483;410788;182989;119385;89993;0;19327;3031958;1128509;13702;555016;213673;8612;822645;218381;71420;208716;44057;66772;1723;23887;72277;0;1263050;1094772;17757;36621;96303;17597;2027204;462458;652348;355844;91673;58979;0;404258;0;1644;872852;555278;317575;0;0;147443;18571;43337;5640;38418;13480;4490;8399;15109;733092;615618;48116;8916;7420;39476;0;13547;0;403026;68870;0;191495;9686;132975
2010;Berne;75267000;10186133;426009;8564;417445;870830;431974;189842;127663;100737;0;20614;3078872;1119848;14570;554426;212502;9261;849842;241556;76867;191128;44916;54011;131;21527;70543;0;1281698;1117733;17754;40462;95575;10173;2147874;540117;654032;366112;104019;65161;0;416213;0;2220;891144;532948;358196;0;0;127916;15915;30013;5393;36397;16485;4635;5947;13132;756012;628348;52918;9243;12408;38877;0;14218;0;414650;63748;0;191627;10419;148856
2011;Berne;76434000;10547380;423251;8733;414519;898646;437509;212450;123540;106151;0;18996;3210306;1161698;15307;597288;205139;9077;891195;252095;78507;178904;45528;42721;1039;16827;72789;0;1381986;1163105;71277;37720;98061;11823;2248744;554308;683100;404260;106062;64173;0;434739;0;2101;927839;569974;357866;0;0;134336;16453;27971;5444;39293;15574;11492;4554;13555;744679;619338;51061;9252;10016;44020;0;10993;0;398687;71907;0;188342;12815;125624
2012;Berne;76388000;11104992;603592;8692;594900;890789;427798;212019;136269;95530;0;19172;3268299;1164697;16312;576784;197105;9710;956603;269585;77502;180051;45386;48349;159;11949;74207;0;1781838;1477262;151291;33762;106706;12816;2230178;550990;608518;430583;101985;59826;0;475822;0;2455;871813;531804;340008;0;0;146786;13650;28362;7058;39480;14143;31655;1102;11335;740173;616022;50260;9158;10744;36546;0;17443;0;391474;68819;0;195193;12978;114484
2013;Berne;77685000;10865589;409448;8751;400697;1006362;408984;213362;139302;225791;0;18923;3225683;1157646;15912;564221;203938;11412;917428;279250;75876;180871;45274;41562;273;21277;72485;0;1712490;1411947;153105;33041;102969;11428;2172480;515229;605619;436898;91159;61179;0;460690;0;1707;892695;539685;353010;0;0;128782;16965;24259;9183;26043;16519;22886;1160;11767;744383;615998;48716;8745;11190;41088;0;18646;0;392393;69532;0;194060;11473;117328
2014;Berne;79180000;10927785;427394;11336;416058;1037256;420149;217258;142878;238126;0;18845;3296882;1159880;16302;565923;220781;9882;988077;259724;76312;182469;51366;43882;273;14381;72566;0;1691290;1403554;134576;32290;105949;14921;2216864;342772;696376;532842;93155;64078;0;486037;0;1604;831784;476205;355579;0;0;132547;16766;29026;8170;24558;15340;25782;992;11913;727287;599394;47717;8791;8768;40121;0;22496;0;384013;69721;0;192955;15147;106190
2015;Berne;79732000;13227811;2325981;12414;2313567;1063677;428148;215835;150273;250656;0;18765;3345802;1168154;16235;581554;228905;15928;968240;286785;80002;184870;52378;48492;284;11214;72502;0;1727041;1417150;137131;52881;105936;13943;2490277;334695;826302;549251;92238;66390;0;619421;0;1980;850308;479567;370741;0;0;110212;13588;23530;7952;18404;17726;16912;925;11175;728045;606581;48288;8261;7643;36085;0;21187;0;401597;70156;0;194134;17539;119768
2016;Berne;79542000;11508668;419434;12119;407315;1085665;433358;225712;148267;256688;0;21640;3335104;1182585;16861;589409;206815;10173;963381;285158;80720;191259;58457;44035;160;15623;72984;0;1788824;1437174;163246;54120;120839;13445;2633904;399107;827945;557090;90608;71332;0;685833;0;1989;833389;448835;384554;0;0;114941;15051;22824;9085;19403;19675;16072;729;12102;714604;593615;45021;9158;7305;37928;0;21578;0;391544;71425;0;193814;13132;113174
2017;Berne;79627000;11612390;503483;16787;486695;1088327;438849;220239;148433;259100;0;21707;3402943;1224130;33878;507423;178967;88311;955989;332710;81535;191045;58248;47524;260;13263;71750;0;1781141;1459548;152219;49462;107286;12627;2643721;422475;813927;559529;111119;72458;0;662145;0;2069;774269;383520;390748;0;0;119869;15192;15159;10919;30379;18270;15135;2417;12399;721594;594208;43866;7936;7195;45111;0;23279;0;385997;69154;0;193827;10485;112530
2018;Berne;81727000;11707198;482155;16706;465449;1136756;471282;222722;154333;269712;0;18708;3457675;1242700;35855;493762;181193;96733;973146;341542;92743;186546;58231;39583;161;16833;71737;0;1734945;1430932;135433;49233;108906;10441;2702879;472233;830919;584935;121331;71596;0;619524;0;2341;672778;284880;387898;0;0;182647;26484;19206;6891;40197;21895;53386;2551;12037;763200;603303;46540;9540;8016;40555;0;55246;0;387617;74042;0;190450;11338;111787
