Year,Total expenditure,General administration,Executive and legislative organs,General services,International relations,R&D general services,"Public order and security, defense",Public security,Administration of justice,Prison system,General legal issues,Fire protection services,Defense,"R&D public order and security, defense",Education,Obligatory schooling,Special schools,Basic vocational training,General education schools,Post-secondary vocational education,Tertiary-level institutions,Research,Other education,"Culture, sport and leisure, church",Cultural heritage,Other culture,Media,Sporting and recreational services,Churches and religious services,"R&D culture, sport and leisure, church",Health,"Hospital, convalescent and nursing home services",Outpatient care,Preventive healthcare,R&D health,Health n.e.c.,Social security,Sickness and accident,Disability,Old age and survivors,Family and young people,Unemployment,Subsidized housing,Social welfare and asylum affairs,R&D social welfare,Social welfare n.e.c.,Transportation and telecommunications,Road transportation,Public transportation,Other transportation,Telecommunications,R&D transportation and telecommunications,Protection of the environment and spatial planning,Water supply,Sewage disposal,Waste management,Control structures,Protection of biodiversity and landscape,Anti-pollution,Other environmental protection,R&D environmental protection,Spatial planning,National economy,Agriculture,Forestry,Hunting and fishing,Tourism,"Industry, commerce and trade",Banks and insurance companies,Fuel and energy,R&D national economy,Other commercial operations,Finances and taxes,Taxes,Tax agreements,Fiscal equalization and cost compensation,Revenue shares in federal receipts without appropriation,Other revenue shares without appropriation,Asset and debt management,Redistribution,Undivided items,Canton
2000,2269454,87696,4458,83238,,,151249,66706,24961,13693,25244,8129,12516,,567525,277705,10204,105541,58591,58683,40489,,16313,44728,16752,19546,,8425,5,,228074,209404,2704,10491,,5475,323614,122240,68292,44560,14967,11622,10103,49602,,2229,345210,317838,26102,1270,,,157810,38,31953,12385,71633,1329,,2755,,37718,251316,158181,21182,4975,4409,699,53784,8086,,,112233,11997,1208,18034,,10576,70418,,,Valais
2001,2594340,83927,5454,78473,,,159376,66865,26734,14141,28367,10569,12700,,611549,299961,10658,104403,65979,17522,98620,,14405,44126,16990,17600,,9186,350,,220592,201078,2900,11909,,4705,337698,123708,72357,47910,22567,9640,8470,50816,,2230,402124,373538,26714,1871,,,231945,2086,24072,8740,148200,1169,,3308,,44369,383558,171175,38891,5020,4796,752,2980,159944,,,119447,10083,1341,17968,,13425,76630,,,Valais
2002,2199648,86499,5499,81000,,,154868,67643,25736,14967,25961,9851,10710,,543536,201285,9999,109134,67686,26190,113543,,15698,41325,14844,18384,,7947,150,,249319,230133,4535,10212,,4439,352247,129666,78182,50459,21859,8787,7846,53218,,2230,320351,294510,23267,2574,,,129512,1216,26135,6557,35379,1774,,4121,,54329,201888,155705,25581,5273,5623,1080,,8625,,,120103,10415,1363,17660,,15766,74900,,,Valais
2003,2274415,89875,5133,84742,,,161625,74289,25806,16423,24839,8502,11766,,588094,224542,9744,101778,75122,48193,110059,,18656,43208,15869,19930,428,6961,20,,268158,245753,7340,11413,,3652,380217,131312,95150,52347,25199,11473,7790,56468,,477,304912,280644,23285,983,,,117832,362,22393,3438,44584,1852,,3501,,41700,200500,152549,24580,5547,4874,1391,,11559,,,119996,11291,1252,18194,,18663,70597,,,Valais
2004,2336098,102479,5258,97220,,,159923,71872,27553,17205,25018,7918,10358,,569041,211070,10475,96769,86493,40828,106472,,16934,44918,16170,19706,757,8285,,,275760,258484,820,13291,,3164,410526,133873,96291,47438,27363,30653,7439,58916,,8552,315972,284741,28752,2479,,,99232,,15984,2606,47377,2485,,4019,,26763,233121,148854,20277,5379,6197,1572,,50842,,,125126,12419,1376,17939,,19282,74109,,,Valais
2005,2270806,90089,4673,85417,,,164510,75537,27533,15789,29540,8476,7634,,564219,197232,11063,94200,92116,1866,150550,,17192,48634,17620,22164,165,8682,4,,278150,260213,8,12751,,5178,407521,135025,90663,54415,26460,29701,5257,63331,,2669,321190,285537,28205,7449,,,86162,,8629,2357,33982,2096,,3742,,35356,191946,145760,19093,5220,7502,1112,,13259,,,118383,9277,,29231,,21542,58333,,,Valais
2006,2289994,95728,5016,90711,,,163610,76637,28307,17240,26713,8165,6548,,584947,207610,10290,94649,98259,1467,153726,,18947,48277,18719,20330,155,9067,6,,288834,271125,4,12577,,5128,429855,145206,97500,59610,26984,31416,4400,63523,,1215,310114,265576,35347,9191,,,91742,,7929,3186,40351,2885,,3895,,33497,179413,143839,16291,5182,6877,1411,,5812,,,97475,10907,,17472,,24072,45025,,,Valais
2007,2465402,110240,5270,104969,,,169128,78257,29184,17386,29160,9313,5829,,623754,217014,10299,100684,101478,1702,173003,,19574,51279,17101,23361,535,10279,3,,312484,279473,,13396,,19615,464115,153988,118218,62736,28319,30593,4421,65530,,310,349238,311724,26230,11284,,,106108,,8435,1807,46952,2887,,3910,,42116,181177,143704,18022,5422,5535,1282,,7211,,,97880,11361,,18247,,34152,34121,,,Valais
2008,2628061,123599,6441,117158,,,183122,83530,30620,18856,34880,8097,7139,,638162,224599,28665,104095,87746,17113,156712,300,18931,52318,16297,25433,420,10168,,,324795,291640,12615,13880,,6661,465964,157031,120753,41604,38468,24279,,80690,,3138,437484,373486,42855,21144,,,78219,,6376,3063,53011,2974,4554,2128,,6112,218419,141676,24150,5516,5319,35561,,6197,,,105980,12606,,25660,,37796,29918,,,Valais
2009,2766781,144899,6284,138615,,,206600,93920,34838,19635,42815,8221,7172,,674454,234403,31031,110875,95629,16765,166540,,19211,59310,18581,28188,360,12182,,,339080,303849,14609,14694,,5928,488127,159945,120694,44202,42573,30164,,87185,,3363,429435,361522,46786,21126,,,97415,,8899,1936,66356,3812,4812,3306,,8295,233721,145386,28398,5696,6549,39700,,7992,,,93742,11917,,21842,,34831,25152,,,Valais
2010,3150602,444200,6829,437370,,,208004,91528,34758,19491,44543,9955,7728,,684759,234176,31706,119473,92527,18131,169273,,19474,60559,19211,28698,274,12256,120,,342850,307504,14516,15393,,5437,529081,171664,132323,45885,47318,30675,3,98265,,2948,433404,367916,46283,19205,,,96558,,8036,1823,65543,5903,4516,2389,,8348,254805,155593,28186,5844,6625,45568,,12990,,,96383,13998,,21292,,37459,23634,,,Valais
2011,2991863,131289,7571,123718,,,224884,97102,37303,21882,52263,9922,6411,,745503,254752,28445,132085,93291,19322,197351,,20257,61674,17938,30899,445,11552,840,,372343,333462,16678,16381,,5821,555199,184226,139176,50045,49919,30415,70,100475,,871,425567,356951,49323,19293,,,114880,,10108,1281,77232,6516,9660,2769,,7314,256422,151480,27723,6005,4842,51451,,14920,,,104102,12661,,21217,,49148,21077,,,Valais
2012,3774926,700529,6984,693545,,,238432,95782,38015,23103,56906,12993,11633,,820462,347216,31643,123975,90963,19024,187752,,19889,65312,16566,33341,927,12988,1490,,409809,358760,30057,14351,,6642,587969,190858,133858,55291,53319,31968,109,122060,,507,434818,362217,53384,19218,,,94353,,8508,237,60953,5017,10072,2737,,6829,266199,154847,25952,5845,5707,58207,,15641,,,157042,14261,,58266,,42966,41548,,,Valais
2013,3311178,151573,7148,144425,,,249550,104456,39727,24931,58215,12021,10200,,853710,364845,33640,130330,102499,16746,180248,,25402,67950,17195,35406,102,13296,1951,,432109,379974,35018,12384,,4732,611303,197498,141727,56645,54143,30169,1300,129064,,758,437978,360502,56446,21030,,,84940,,8642,,50679,5198,10008,2494,,7919,266178,151967,26154,5757,3908,62038,,16353,,,155888,15034,,60738,,43892,36225,,,Valais
2014,3351397,138418,7854,130564,,,246685,98771,40367,27792,59135,10885,9735,,838612,353118,33475,121733,84703,28108,194260,,23214,74363,18967,41092,138,12763,1403,,432710,376851,35415,15774,,4670,620343,182949,146005,58153,57811,31007,,143895,,523,461921,382448,56316,23157,,,78672,,8964,,46203,5242,9720,2193,,6350,285224,167315,26376,5704,7169,63624,,15037,,,174450,16899,,64117,,54739,38695,,,Valais
2015,3367546,141820,9124,132696,,,244747,98150,41287,29514,51489,13420,10886,,889112,338258,32615,119280,98553,51932,224958,,23516,67588,15607,36094,744,13700,1443,,418626,359298,38949,15574,,4806,611791,160099,153008,56701,60547,32737,77,148122,,500,436143,362114,62368,11662,,,81920,,9562,,50055,5304,7691,2340,,6968,292774,172883,26223,5922,11804,62259,,13683,,,183025,16939,,66255,,67988,31844,,,Valais
2016,3406916,145929,6990,138939,,,240871,96932,41732,28156,51466,12484,10102,,901605,351612,30163,132431,97122,33383,232474,,24420,56920,14597,26960,283,13080,2000,,440118,373913,44849,14754,,6602,633410,163790,152329,58648,62293,33092,,162758,,500,376759,304143,63125,9491,,,88313,,7108,,58408,6045,8427,2434,,5890,347858,171327,24021,6066,21249,54624,59613,10957,,,175133,20206,,66779,,56981,31167,,,Valais
2017,3502632,168023,7518,160504,,,252139,97581,42262,30164,55259,16283,10590,,954377,372475,33676,145489,99216,28974,250499,,24047,59912,15811,28904,736,13454,1008,,462160,388852,51649,15068,,6591,671939,170407,187884,64740,62463,31683,,154261,,500,368191,292339,63358,12495,,,97901,,9116,,65986,6055,8157,2347,,6241,292318,174418,23669,6370,18946,57357,49,11508,,,175671,15719,,63796,,61904,34253,,,Valais
2018,3694678,257810,7998,249811,,,251737,100660,47054,31854,49775,9087,13307,,951802,346519,34935,137121,100246,18672,288008,81,26219,62788,15563,29358,1004,15365,1498,,475332,399024,54100,16873,,5335,696841,179815,171536,65941,65958,31367,,176837,,5387,380582,305814,65604,9165,,,99576,,5959,,71586,5776,9222,633,,6401,306053,184266,25691,6781,34029,36279,,18997,,10,212158,21877,,64973,,94764,30543,,,Valais
2019,3968720,495537,9228,486309,,,263483,101298,49587,32900,50642,13750,15307,,938327,344111,37069,130851,97858,14746,284021,3301,26370,70877,21265,28556,761,18350,1945,,493249,408985,58213,17738,,8313,706643,185730,180294,64147,70734,35148,,170054,,537,409991,334980,64958,10052,,,93969,,6828,,65285,7630,7551,761,,5914,306399,185785,24542,6688,27023,37738,0,24622,,,190246,20963,,66499,,70604,32180,,,Valais
2020,4263772,382513,9931,372582,,,269653,105102,51084,35732,53182,11591,12961,,1021076,356608,42955,128426,99042,15289,348546,3245,26966,76830,19697,35982,608,18215,2328,,552553,457327,62471,26728,,6027,786420,211268,223124,66527,82275,31049,,171641,,535,448633,371754,66994,9886,,,114263,,6825,,82261,9546,8286,657,,6688,366678,188787,30343,6451,43318,71148,,26621,,9,245153,23208,,68025,,78781,75139,,,Valais
1990,450334,47553,2224,45329,,,46070,21003,7724,2662,7595,1042,6044,,112827,41887,236,27003,28676,1746,10788,,2491,10818,7426,2073,1,1292,26,,63564,57757,1385,3255,,1166,40745,3423,9603,12615,3683,980,1743,8218,,480,44065,25481,18496,87,,,14814,790,7630,101,2330,507,,1825,,1632,19819,11580,5361,395,330,152,,2000,,,50060,437,5199,29196,,580,14648,,,Zug
1991,504973,56539,3177,53362,,,54603,25158,9036,2835,8946,550,8079,,116938,45148,3202,25672,26022,1997,11548,,3348,11894,5307,5246,,1321,20,,81544,71823,1010,6257,,2454,48240,3672,9938,14899,630,1575,909,16327,,290,50755,29523,21103,129,,,16229,716,7963,272,2727,355,,1971,,2224,26419,13779,4411,438,577,15,7200,,,,41811,400,3325,30936,,2303,4847,,,Zug
1992,528388,47734,2375,45359,,,63761,33103,10191,2981,9534,756,7197,,131467,48459,2519,32667,26038,2961,14455,,4367,9966,4935,3615,,1396,21,,90187,81481,1431,4211,,3064,50637,3917,11461,15937,452,2011,1857,14153,,850,46758,32301,14213,244,,,23888,534,14868,302,1195,1565,,2880,,2544,21257,14948,5418,455,388,32,,17,,,42732,952,5027,32077,,711,3965,,,Zug
1993,658031,47916,2580,45336,,,73791,40634,11663,3212,10446,905,6930,,144926,56209,3090,41601,23290,2542,14253,,3940,9768,5623,2852,,1271,22,,88184,78659,1782,4366,,3377,102503,4374,14291,18928,488,46568,1165,15956,,733,42734,28290,14228,217,,,81605,859,20253,761,694,556,,3695,,54787,24294,18063,5137,571,417,41,,66,,,42310,1864,1874,34069,,698,3806,,,Zug
1994,623862,52142,2733,49409,,,71313,38095,12094,3215,11191,390,6329,,148285,58488,2831,41740,23411,2821,14937,,4057,10087,5778,3121,0,1160,28,,90095,79961,2144,4376,,3615,89646,4627,16247,20314,1825,31769,599,13892,,374,44739,31517,13167,55,,,26349,286,17187,290,960,760,,3327,,3539,40256,19798,4298,679,456,625,14400,,,,50950,1502,5371,33540,,623,9915,,,Zug
1995,606470,54937,3123,51814,,,68121,33360,12875,3283,12053,324,6225,,162513,62512,3136,49784,24280,3183,15497,,4121,9398,5937,2362,23,1056,20,,88027,77542,2152,4809,,3524,75173,5184,16423,22921,2000,14505,700,13130,,310,44853,32346,12499,8,,,31194,296,16589,468,565,1713,,3148,,8414,26460,20872,4288,695,435,0,,170,,,45794,955,1850,32205,,610,10173,,,Zug
1996,688337,52937,2990,49947,,,66444,30952,13749,3178,12086,461,6017,,173149,65654,3265,54886,24855,3852,16464,,4172,10293,5949,3118,116,1089,22,,110310,96197,2348,5299,,6466,109843,13367,17479,21288,2314,38906,766,15398,,325,47509,30618,16759,132,,,27674,186,17074,128,1570,1407,,3176,,4134,42112,25335,3515,641,495,30,12096,,,,48066,1267,2570,34065,,852,9312,,,Zug
1997,758725,67239,3347,63891,,,68535,31403,15330,3131,13253,298,5120,,180049,69859,3101,54000,26402,4697,17054,,4936,11105,6155,3616,108,1167,58,,112392,100116,1730,5427,,5118,155711,15055,18159,19716,2094,67258,1078,31614,,737,46868,31683,15058,127,,,22755,158,13417,174,1314,1509,,3175,,3008,43813,26068,3272,684,440,10,13306,35,,,50258,1586,1739,33963,,810,12160,,,Zug
1998,745570,91070,3315,87755,,,72878,33067,16310,3565,15004,152,4780,,178968,66901,5229,49655,35954,5238,7258,,8732,13737,5217,6516,133,1848,22,,109236,97185,1125,5499,,5426,126369,16984,22649,20280,395,42613,1281,21667,,500,50530,35604,14867,59,,,19157,254,9820,274,1153,1545,,3089,,3023,31388,24884,3001,2913,532,59,,,,,52238,1851,2210,37600,,548,10030,,,Zug
1999,724352,76340,4337,72002,,,76492,36513,17879,4080,13632,259,4128,,186931,66765,7684,50317,40584,9215,8699,,3669,14746,5485,4352,20,4865,22,,72117,61484,613,5231,,4789,107582,20430,20275,23658,526,15075,1235,23683,,2700,71846,52715,18990,141,,,19035,227,8478,317,1326,1662,,3385,,3641,48232,25107,3734,2151,14,379,16632,216,,,51031,3504,3828,35495,,597,7606,,,Zug
2000,769731,62721,3515,59206,,,75706,35329,17645,5069,13333,330,4001,,216835,70976,7642,63387,49891,7135,13976,,3827,19561,7120,4597,59,7660,124,,105389,93912,239,5916,,5323,115432,25108,27520,25500,993,12376,1393,20875,,1667,67497,48636,18703,158,,,17476,186,6473,55,1999,1713,,3370,,3680,35320,25312,8089,998,,641,,281,,,53793,818,3380,42095,,649,6852,,,Zug
2001,806321,55256,4241,51015,,,86288,39626,18555,10007,13817,262,4023,,241799,81233,10490,69137,50980,4661,21547,,3750,15729,6583,4928,89,4078,51,,116407,103823,229,6288,,6068,110323,22732,25076,26716,687,8887,1516,23587,,1122,80224,58017,22148,58,,,16124,96,6518,73,809,1886,,3322,,3420,36797,28574,6097,999,,586,,540,,,47374,557,2971,39329,,663,3855,,,Zug
2002,884671,58887,3776,55111,,,93667,45480,18742,9496,14596,156,5197,,234535,83726,8867,50998,58594,4154,23963,,4234,16871,7134,7175,97,2421,44,,127511,114843,216,6268,,6184,124558,28422,31597,25953,2319,11289,1633,22045,,1300,122543,97691,22631,2221,,,16432,148,4345,382,2498,1934,,3651,,3473,36571,28946,5866,1071,32,424,,231,,,53097,706,3202,43989,,595,4604,,,Zug
2003,950398,65986,3784,62202,,,96692,48682,20574,7476,14725,185,5050,,260206,88659,13400,55289,68519,4619,25333,,4386,14714,6332,5503,68,2772,39,,126765,113667,221,6242,,6635,129649,29750,28595,27272,2395,15240,1509,24688,,200,145386,100043,45093,250,,,12158,165,173,1045,1093,2882,,3414,,3386,36773,28981,5028,1025,421,539,,778,,,62069,1844,4760,48956,,539,5970,,,Zug
2004,950110,60684,3381,57302,,,96585,48075,20975,7940,14473,171,4951,,251277,89431,11121,55046,55105,2323,34146,,4107,15273,6513,5500,11,3217,31,,153306,137219,140,6070,,9877,139736,33581,29856,28213,3222,17204,1349,25761,,550,113431,62349,50808,274,,,13786,130,107,904,3695,1884,,3798,,3268,36239,28711,5667,1320,443,28,,69,,,69793,1451,16597,43346,,581,7818,,,Zug
2005,924349,62083,3310,58772,,,97004,47005,20947,8775,14551,947,4778,,238831,86078,12214,51837,49939,2444,32287,,4033,15680,6810,5747,35,3047,41,,166008,150840,20,5252,,9896,155664,37835,37255,30973,2457,18003,1676,27066,,400,84510,53140,30754,615,,,13688,309,570,1104,2822,1879,,3925,,3079,38582,29533,7615,893,401,52,,88,,,52299,1855,,42337,,595,7512,,,Zug
2006,913333,60956,3824,57131,,,99408,50360,22328,6897,15325,281,4217,,243786,87784,12543,53311,50640,2391,33028,,4090,15332,6570,5042,89,3603,28,,156226,141292,21,3164,,11749,154023,40916,39105,32610,2201,17848,1860,19183,,300,79031,52186,26549,297,,,11271,83,186,328,1337,1987,,4269,,3080,37522,30206,5166,1098,427,537,,87,,,55778,1020,,46935,,654,7169,,,Zug
2007,1002784,72903,3360,69543,,,100595,50100,22699,6859,14529,263,6144,,253564,92432,12937,54918,51207,2368,35695,,4006,15512,6716,5204,22,3548,23,,193978,178705,50,3314,,11909,163363,37703,50121,35405,869,17122,2149,19595,,400,90615,57297,33030,288,,,11324,100,1290,451,656,1971,,3726,,3130,39700,31502,5827,1191,413,676,,90,,,61229,1587,,52002,,703,6937,,,Zug
2008,1101518,80389,4044,76345,,,98443,50130,24433,6395,13379,439,3667,,266527,86495,28296,58254,51472,3983,33881,,4147,18947,7034,5512,138,6243,19,,124576,112405,2606,3978,,5587,138599,36959,46982,16970,3887,9452,1777,22172,,400,128967,88352,40308,307,,,11277,147,93,427,1167,1738,,3760,,3946,44850,30556,5350,966,407,7480,,92,,,188942,1235,,178889,,,8817,,,Zug
2009,1149516,89654,4772,84882,,,102041,52729,27934,6923,15297,342,-1185,,277479,94034,28048,63269,51201,1557,35830,,3539,16824,7514,5495,156,3536,125,,99903,85082,2892,6185,,5744,159275,39564,56548,16964,3546,9603,1679,31291,,80,135079,85612,49165,302,,,13895,,120,391,3062,2030,,4184,,4108,49517,34229,5720,1084,418,7769,,298,,,205849,2023,,194146,,,9680,,,Zug
2010,1187920,94807,4894,89912,,,111820,54348,26096,7814,14839,387,8336,,297251,88572,42712,70398,52506,1695,37803,,3564,20691,9046,8108,102,3416,20,,103160,88441,3100,5423,,6196,147439,42079,43872,19441,3985,9877,2555,25511,,120,112810,68662,43838,310,,,19353,,264,3721,1322,2319,3851,4182,,3694,51335,33795,5331,927,397,10757,,127,,,229255,1824,,217302,,,10128,,,Zug
2011,1272152,105927,4891,101035,,,109040,55201,26731,7435,14684,377,4613,,322320,90338,32250,72241,78389,1589,38750,,8764,20640,8768,7691,224,3921,36,,91045,76012,3255,5555,,6224,168247,50146,54996,20480,4192,10163,1863,26127,,280,103351,66146,36895,310,,,19821,,14,1935,2431,2342,4156,5178,,3765,77825,51613,6056,947,1283,8801,8992,132,,,253936,1567,,239645,,,12725,,,Zug
2012,1276667,111697,4028,107669,,,111696,56582,27692,8516,14395,260,4251,,304062,94429,37139,65554,53160,1368,42038,,10374,22663,10296,8353,334,3648,33,,87271,72984,3886,5878,,4523,170633,50530,53146,24112,4413,9620,2118,26464,,230,120408,68047,50715,1646,,,18183,288,,68,190,2201,7848,3531,,4057,54118,38064,6986,19,409,8640,,,,,275933,2194,,262075,,,11664,,,Zug
2013,1303488,109959,4281,105678,,,124530,61295,30435,9108,19409,340,3943,,300966,86185,37717,67286,53055,1342,44859,,10521,22346,10383,7921,283,3717,42,,95118,80446,4342,5754,,4577,173302,51424,50577,25031,4066,10309,2985,28611,,300,113805,72536,39905,1365,,,18001,333,,79,169,2124,7930,3519,,3847,55981,39739,6771,77,459,8935,,,,,289480,2191,,275217,,,12072,,,Zug
2014,1371648,111759,4233,107527,,,129243,64545,31099,9185,19549,337,4528,,347717,88071,38482,83304,72271,1373,53203,,11014,22620,10157,8418,315,3698,31,,105565,87506,5199,8012,,4848,182954,52929,53884,28252,4125,10619,2624,30480,,40,109164,65420,42362,1382,,,14574,466,,126,110,2109,3424,3538,,4801,53279,36908,6947,6,455,8963,,,,,294772,2754,,279484,,,12534,,,Zug
2015,1393349,107326,3892,103434,,,129583,63298,30931,8432,22096,615,4211,,335940,89477,40539,68586,69836,932,56350,,10222,22984,9325,8718,469,4443,29,,113576,94291,4376,9640,,5269,193461,53280,55281,29618,4766,10924,4550,34961,,80,90348,49045,39893,1411,,,15298,292,,118,213,2238,4433,3462,,4543,52307,36458,6478,7,424,8940,,,,,332525,2131,,321113,,,9280,,,Zug
2016,1429385,104848,4072,100776,,,125830,60417,30278,7578,22815,262,4481,,350739,92040,40076,67588,79614,929,60229,,10264,24451,9371,10439,471,4124,47,,117036,93334,3388,15306,,5008,197007,50186,56536,30537,5128,11609,2978,40032,,,107975,65047,41517,1411,,,12778,237,,94,189,2018,1828,3619,,4793,50836,34944,6699,47,414,8732,,,,,337886,1984,,330684,,,5218,,,Zug
2017,1472544,95183,3790,91393,,,122811,59535,30261,7387,20748,226,4655,,372328,90001,38056,77989,90847,504,64628,,10303,22700,8875,8834,442,4526,23,,139604,120999,4015,9696,,4894,196736,54236,54334,29940,5153,12264,3150,37658,,,107195,67327,38467,1401,,,16296,194,,180,180,2061,6418,3498,,3764,49314,34059,6520,1,419,8315,,,,,350377,1976,,345842,,,2560,,,Zug
2018,1402295,94533,4018,90515,,,121450,58158,29738,7252,20834,229,5240,,364737,88887,39976,73087,88831,504,63315,,10137,23636,8976,9470,522,4645,22,,118202,107645,1503,4039,,5015,202736,57036,56623,29968,5283,11724,3279,38823,,,94808,56084,37323,1401,,,13255,207,,221,211,1916,3545,3330,,3825,51219,35571,5860,0,400,8750,,638,,,317720,2860,,312771,,,2088,,,Zug
2019,1418260,115953,3552,112401,,,121296,59081,30028,7044,20941,190,4011,,328154,91360,41586,65246,53860,149,65919,,10035,23417,8748,9818,74,4751,25,,121652,108604,2416,4957,,5674,205425,56812,59379,33189,4501,11674,2664,37205,,,104580,66353,36927,1300,,,14608,317,4239,101,,2297,576,3432,,3646,50632,33972,6192,1,350,8248,,1869,,,332544,1819,,329430,,,1295,,,Zug
